"Name","Race","RaceImg","Appr","Lvl","Undead","Tameble","Wz1","CoolEye","Exp","HP","MP","Wz2","Wz3","Ac","FireMAC","IceMAC","LightMAC","WindMAC","HolyMAC","DarkMAC","PhantomMAC","Dc","DcMax","McType","Mc","McMax","Speed","Hit","WALK_SPD","WalkWait","WalkStep","ATTACK_SPD","Wz4","UnKnow","OrgName"
"牛","52","11","121","4","0","1","0","0","176","30","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","5","10","1500","0","1","3000","0","","王者软件"
"雄诺玛","52","11","174","4","0","0","5","0","7200","250","0","0","5","10","0","0","0","0","0","0","0","0","4","0","0","0","5","10","600","0","1","3000","0","","王者软件"
"雌诺玛","52","11","175","4","0","0","5","0","7200","250","0","0","5","10","0","0","0","0","0","0","0","0","4","0","0","0","5","10","900","0","1","3000","0","","王者软件"
"小诺玛","52","11","176","4","0","0","5","0","7200","250","0","0","5","10","0","0","0","0","0","0","0","0","4","0","0","0","5","10","1200","0","1","3000","0","","王者软件"
"单腿诺玛","52","11","177","4","0","0","5","0","7200","250","0","0","5","10","0","0","0","0","0","0","0","0","4","0","0","0","5","10","1200","0","1","3000","0","","王者软件"
"独臂诺玛","52","11","178","4","0","0","5","0","7200","250","0","0","5","10","0","0","0","0","0","0","0","0","4","0","0","0","5","10","900","0","1","3000","0","","王者软件"
"羊","52","19","58","5","0","1","0","0","224","40","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","8","7","1500","0","1","3000","0","","王者软件"
"僵尸7","52","21","26","144","0","0","0","0","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"潘夜右护卫4","52","21","26","147","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"地牢女神4","52","21","26","147","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","25","25","5","5","5","5","0","","王者软件"
"潘夜左护卫4","52","21","26","147","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","25","25","5","5","5","5","0","","王者软件"
"猿猴战士4","52","21","26","147","0","0","0","100","32","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"蚂蚁战士4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","0","5","25","5","5","5","0","","王者软件"
"爆毒蚂蚁4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"赤血恶魔4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"大老鼠4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"地牢女神4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"毒蜘蛛4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"黑角蜘蛛4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"黑野猪4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"红野猪4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"蝴蝶虫4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"花色蜘蛛4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"灰血恶魔4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"巨象兽4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"骷髅4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"骷髅弓箭手4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"骷髅士兵4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"诺玛4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"石像狮子4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"跳跳蜂4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"蜈蚣4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"武力神将4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"蝎蛇4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"祖玛雕像4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"祖玛弓箭手4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"祖玛卫士4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"火焰狮子4","52","21","26","150","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","25","25","5","5","5","5","0","","王者软件"
"半兽战士4","52","21","26","150","0","0","0","100","16","9999","0","5","5","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"潘夜云魔4","52","21","26","150","0","0","0","100","32","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","0","5","25","5","5","5","0","","王者软件"
"诺玛法老4","52","21","26","150","0","0","0","100","32","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"潘夜冰魔4","52","21","26","150","0","0","0","100","32","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"潘夜风魔4","52","21","26","150","0","0","0","100","32","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"潘夜战士4","52","21","26","150","0","0","0","100","32","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"暗黑战士4","52","21","26","150","0","0","0","100","15984","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"潘夜火魔4","52","21","26","150","0","0","0","1000","32","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"浪子人鬼4","52","21","26","151","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"沃玛勇士4","52","21","26","157","0","0","0","100","16","9999","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"钳虫4","52","21","26","159","0","0","0","100","32","200","0","0","0","11","0","0","0","0","0","0","0","900","900","0","0","0","5","25","5","5","5","5","0","","王者软件"
"狼","53","19","65","15","0","1","0","0","960","60","0","0","0","2","0","0","0","0","0","0","0","6","11","0","0","0","11","13","1300","0","1","2500","0","","王者软件"
"练功师","55","19","55","150","0","0","0","0","16","9999","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","15","15","0","0","0","2500","0","","王者软件"
"多钩猫","81","17","38","10","0","1","0","0","320","20","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","9","11","1500","0","1","2500","0","","王者软件"
"多钩猫0","81","17","38","10","0","1","0","10","320","20","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","9","11","1500","0","1","2500","0","","王者软件"
"钉耙猫","81","17","39","10","0","1","0","0","320","20","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","9","11","1500","0","1","2500","0","","王者软件"
"钉耙猫0","81","17","39","10","0","1","0","10","320","20","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","9","11","1500","0","1","2500","0","","王者软件"
"沙漠蜥蜴","81","19","0","35","0","1","0","0","7360","300","0","3","3","8","0","1","0","-1","1","-1","0","29","42","0","0","0","18","21","1300","0","1","1500","0","","王者软件"
"沙漠蜥蜴0","81","19","0","35","0","1","0","10","7360","300","0","3","3","8","0","1","0","-1","1","-1","0","29","42","0","0","0","18","21","1300","0","1","1500","0","","王者软件"
"夜行鬼09","81","19","1","10","1","0","0","0","320","20","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","9","11","1500","0","1","2500","0","","王者软件"
"夜行鬼","81","19","1","35","1","0","0","0","8160","350","0","3","3","8","0","1","0","-1","-1","1","0","29","47","0","0","0","18","21","600","0","1","1000","0","","王者软件"
"夜行鬼0","81","19","1","35","1","0","0","10","8160","350","0","3","3","8","0","1","0","-1","-1","1","0","29","47","0","0","0","18","21","600","0","1","1000","0","","王者软件"
"盔甲蚂蚁","81","19","8","25","0","1","0","0","5440","260","0","0","0","6","0","0","0","0","0","0","0","15","29","0","0","0","15","17","1400","0","1","1900","0","","王者软件"
"盔甲蚂蚁0","81","19","8","25","0","1","0","10","5440","260","0","0","0","6","0","0","0","0","0","0","0","15","29","0","0","0","15","17","1400","0","1","1900","0","","王者软件"
"蚂蚁战士","81","19","14","25","0","1","0","0","4480","200","0","0","0","6","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1500","0","1","2100","0","","王者软件"
"蚂蚁战士0","81","19","14","25","0","1","0","10","4480","200","0","0","0","6","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1500","0","1","2100","0","","王者软件"
"劳动蚂蚁","81","19","16","25","0","1","0","0","4160","180","0","0","0","6","0","0","0","0","0","0","0","16","24","0","0","0","15","17","1600","0","1","2300","0","","王者软件"
"劳动蚂蚁0","81","19","16","25","0","1","0","10","4160","180","0","0","0","6","0","0","0","0","0","0","0","16","24","0","0","0","15","17","1600","0","1","2300","0","","王者软件"
"诺玛将士","81","19","17","35","0","1","0","10","8640","380","0","4","4","7","0","1","0","-1","1","-1","0","29","50","0","0","0","18","21","1000","0","1","2000","0","","王者软件"
"诺玛将士0","81","19","17","35","0","1","0","20","8640","380","0","4","4","7","0","1","0","-1","1","-1","0","29","50","0","0","0","18","21","1000","0","1","2000","0","","王者软件"
"诺玛将士7","81","19","17","44","0","0","5","30","43200","1300","0","10","10","17","0","1","0","-1","1","-1","0","38","66","0","0","0","19","21","1100","0","1","2200","0","","王者软件"
"诺玛将士8","81","19","17","47","0","0","5","40","64000","1900","0","12","12","19","1","2","1","-1","1","-1","0","45","70","0","0","0","20","22","1000","0","1","1800","0","","王者软件"
"诺玛巡逻队长","81","19","17","50","0","0","5","50","80000","2000","0","13","13","21","1","2","1","-1","1","-1","0","55","77","0","0","0","18","22","1000","0","1","1400","0","","王者软件"
"诺玛将士9","81","19","17","50","0","0","5","50","92800","2600","0","14","14","22","1","2","1","-1","1","-1","0","60","88","0","0","0","21","23","900","0","1","1300","0","","王者软件"
"诺玛0","81","19","18","35","0","1","0","0","8000","340","0","3","3","8","0","1","0","-1","1","-1","0","29","46","0","0","0","18","21","1200","0","1","2000","0","","王者软件"
"诺玛00","81","19","18","35","0","1","0","10","8000","340","0","3","3","8","0","1","0","-1","1","-1","0","29","46","0","0","0","18","21","1200","0","1","2000","0","","王者软件"
"诺玛阻力军0","81","19","18","40","0","0","0","30","16","900","0","6","6","13","0","1","0","-1","1","-1","0","33","50","0","0","0","19","21","1200","0","1","2000","0","","王者软件"
"诺玛07","81","19","18","42","0","0","5","30","30400","900","0","6","6","13","0","1","0","-1","1","-1","0","33","55","0","0","0","19","21","1200","0","1","2000","0","","王者软件"
"诺玛08","81","19","18","45","0","0","5","40","51200","1500","0","7","7","15","1","2","1","-1","1","-1","0","44","66","0","0","0","20","22","1100","0","1","1500","0","","王者软件"
"诺玛09","81","19","18","48","0","0","5","50","80000","2200","0","10","10","17","1","2","1","-1","1","-1","0","55","77","0","0","0","21","23","1000","0","1","1200","0","","王者软件"
"半兽战士61","81","19","23","13","0","1","0","0","16","50","0","0","0","1","0","0","0","0","0","0","0","4","12","0","0","0","10","12","1500","0","1","2000","0","","王者软件"
"半兽战士","81","19","23","13","0","1","0","0","800","50","0","0","0","1","0","0","0","0","0","0","0","4","12","0","0","0","10","12","1500","0","1","2000","0","","王者软件"
"半兽战士0","81","19","23","13","0","1","0","10","800","50","0","0","0","1","0","0","0","0","0","0","0","4","12","0","0","0","10","12","1500","0","1","2000","0","","王者软件"
"半兽战士9","81","19","23","99","0","0","0","0","800","500","0","0","0","2","0","0","0","0","0","0","0","22","66","0","0","0","10","12","1500","0","1","2000","0","","王者软件"
"半兽勇士61","81","19","24","70","0","0","0","100","16","300","0","3","3","7","0","0","0","0","0","0","0","4","25","0","0","0","20","22","1000","0","1","1500","0","","王者软件"
"山洞蝙蝠61","81","19","29","18","0","0","0","0","16","90","0","2","2","3","0","0","0","0","0","0","0","8","14","0","0","0","12","14","1500","0","1","2500","0","","王者软件"
"山洞蝙蝠","81","19","29","18","0","0","0","0","1440","90","0","0","0","3","0","0","0","0","0","0","0","8","14","0","0","0","12","14","1500","0","1","2500","0","","王者软件"
"山洞蝙蝠0","81","19","29","18","0","0","0","10","1440","90","0","0","0","3","0","0","0","0","0","0","0","8","14","0","0","0","12","14","1500","0","1","2500","0","","王者软件"
"天外飞仙","81","19","31","90","1","0","0","100","416000","7000","0","39","39","92","4","3","4","4","3","0","0","100","180","3","129","151","23","25","1000","0","1","1500","10"," ","王者软件"
"天外飞仙33","81","19","31","90","1","0","0","100","416000","7000","0","39","39","92","4","3","4","4","3","0","0","100","180","3","129","151","23","25","1000","0","1","1500","10"," ","王者软件"
"沃玛战士61","81","19","41","25","1","0","0","0","16","200","0","5","5","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛战士","81","19","41","25","1","0","0","0","4480","200","0","0","0","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛战士0","81","19","41","25","1","0","0","10","4480","200","0","0","0","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛勇士61","81","19","42","25","1","0","0","0","16","220","0","5","5","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛勇士","81","19","42","25","1","0","0","0","4800","220","0","0","0","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛勇士10","81","19","42","25","1","0","0","0","4800","220","0","4","4","12","0","0","0","0","0","0","0","24","44","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛勇士60","81","19","42","25","1","0","0","0","4800","220","0","5","5","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛勇士0","81","19","42","25","1","0","0","10","4800","220","0","0","0","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"署箭","81","19","53","73","1","0","0","100","16","750","0","4","4","9","0","0","0","0","0","0","0","8","29","0","0","0","20","22","1000","0","1","1500","0","","王者软件"
"僵尸王","81","19","53","73","1","0","0","100","16","750","0","4","4","9","0","0","0","0","0","0","0","8","30","0","0","0","20","22","1000","0","1","1500","0","","王者软件"
"尸王61","81","19","53","73","1","0","5","100","16","750","0","6","6","10","0","0","0","0","0","0","0","8","29","0","0","0","20","22","1000","0","1","1500","0","","王者软件"
"尸王2","81","19","53","73","1","0","5","100","24000","750","0","6","6","10","0","0","0","0","0","0","0","38","82","0","0","0","23","25","1000","0","1","1500","0","","王者软件"
"红蛇","81","19","54","15","0","1","0","0","1120","70","0","0","0","2","0","0","0","0","0","0","0","6","12","0","0","0","11","13","1300","0","1","2300","0","","王者软件"
"红蛇0","81","19","54","15","0","1","0","10","1120","70","0","0","0","2","0","0","0","0","0","0","0","6","12","0","0","0","11","13","1300","0","1","2300","0","","王者软件"
"虎蛇","81","19","57","15","0","1","0","0","1120","70","0","0","0","2","0","0","0","0","0","0","0","6","12","0","0","0","11","13","1300","0","1","2300","0","","王者软件"
"虎蛇37","81","19","57","15","0","1","0","0","5000","70","0","0","0","2","0","0","0","0","0","0","0","6","12","0","0","0","11","13","1300","0","1","2300","0",\N,"王者软件"
"虎蛇0","81","19","57","15","0","1","0","10","1120","70","0","0","0","2","0","0","0","0","0","0","0","6","12","0","0","0","11","13","1300","0","1","2300","0","","王者软件"
"猎鹰","81","19","59","13","0","1","0","0","800","50","0","0","0","1","0","0","0","0","0","0","0","4","11","0","0","0","10","12","1200","0","1","2500","0","","王者软件"
"猎鹰0","81","19","59","13","0","1","0","10","800","50","0","0","0","1","0","0","0","0","0","0","0","4","11","0","0","0","10","12","1200","0","1","2500","0","","王者软件"
"盔甲虫","81","19","60","13","0","1","0","0","560","35","0","0","0","1","0","0","0","0","0","0","0","4","9","0","0","0","10","12","1200","0","1","2500","0","","王者软件"
"盔甲虫0","81","19","60","13","0","1","0","10","560","35","0","0","0","1","0","0","0","0","0","0","0","4","9","0","0","0","10","12","1200","0","1","2500","0","","王者软件"
"多角虫","81","19","63","13","0","1","0","0","480","30","0","0","0","1","0","0","0","0","0","0","0","4","8","0","0","0","10","12","1400","0","1","2500","0","","王者软件"
"多角虫0","81","19","63","13","0","1","0","10","480","30","0","0","0","1","0","0","0","0","0","0","0","4","8","0","0","0","10","12","1400","0","1","2500","0","","王者软件"
"蜈蚣61","81","19","66","30","0","1","0","30","16","200","0","5","5","7","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1500","0","1","2000","0","","王者软件"
"蜈蚣","81","19","66","30","0","1","2","0","5760","200","0","0","0","7","-1","0","0","0","0","0","-1","24","36","0","0","0","18","19","1500","0","1","2000","0","","王者软件"
"蜈蚣0","81","19","66","30","0","1","2","10","5760","200","0","0","0","7","-1","0","0","0","0","0","-1","24","36","0","0","0","18","19","1500","0","1","2000","0","","王者软件"
"黑色恶蛆61","81","19","68","30","0","1","0","30","16","240","0","6","6","7","0","0","0","0","0","0","0","24","38","0","0","0","18","19","600","0","1","1500","0","","王者软件"
"黑色恶蛆","81","19","68","30","0","1","2","0","6400","240","0","0","0","7","0","1","-2","0","0","0","0","24","38","0","0","0","18","19","600","0","1","1500","0","","王者软件"
"黑色恶蛆0","81","19","68","30","0","1","2","10","6400","240","0","0","0","7","0","1","-2","0","0","0","0","24","38","0","0","0","18","19","600","0","1","1500","0","","王者软件"
"钳虫","81","19","69","30","0","1","2","0","7040","280","0","0","0","7","-1","2","-1","0","0","0","1","24","36","0","0","0","18","19","1500","0","1","1800","0","","王者软件"
"钳虫0","81","19","69","30","0","1","2","10","7040","280","0","0","0","7","-1","2","-1","0","0","0","1","24","36","0","0","0","18","19","1500","0","1","1800","0","","王者软件"
"守卫虫","81","19","69","99","0","1","2","0","3520","560","0","6","6","28","5","5","5","5","5","5","1","77","86","0","0","0","18","19","1500","0","1","1800","15","","王者软件"
"邪恶钳虫62","81","19","70","75","0","0","5","100","16","2500","0","13","13","24","0","0","0","0","0","0","0","27","78","0","0","0","23","25","1000","0","1","1500","0","","王者软件"
"跳跳蜂61","81","19","71","30","0","0","0","0","16","220","0","5","5","7","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1500","0","1","2000","0","","王者软件"
"跳跳蜂","81","19","71","30","0","0","2","0","6080","220","0","0","0","7","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1500","0","1","2000","0","","王者软件"
"跳跳蜂0","81","19","71","30","0","0","2","10","6080","220","0","0","0","7","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1500","0","1","2000","0","","王者软件"
"蝴蝶虫61","81","19","72","30","0","0","2","0","16","260","0","0","0","7","0","2","-1","0","0","0","-2","24","41","0","0","0","18","19","1200","0","1","2000","0","","王者软件"
"蝴蝶虫","81","19","72","30","0","0","2","0","6720","260","0","0","0","7","0","2","-1","0","0","0","-2","24","41","0","0","0","18","19","1200","0","1","2000","0","","王者软件"
"蝴蝶虫0","81","19","72","30","0","0","2","10","6720","260","0","0","0","7","0","2","-1","0","0","0","-2","24","37","0","0","0","18","19","1200","0","1","2000","0","","王者软件"
"红野猪","81","19","76","30","1","0","2","0","5760","200","0","4","4","5","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1200","0","1","2000","0","","王者软件"
"红野猪0","81","19","76","30","1","0","2","10","5760","200","0","4","4","5","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1200","0","1","2000","0","","王者软件"
"黑野猪","81","19","77","30","1","0","2","0","5760","200","0","0","0","11","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1000","0","1","2000","0","","王者软件"
"黑野猪0","81","19","77","30","1","0","2","10","5760","200","0","0","0","11","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1000","0","1","2000","0","","王者软件"
"蝎蛇","81","19","79","30","1","0","2","0","7040","280","0","0","0","8","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1000","0","1","2000","0","","王者软件"
"蝎蛇0","81","19","79","30","1","0","2","10","7040","280","0","0","0","8","0","0","0","0","0","0","0","24","36","0","0","0","18","19","1000","0","1","2000","0","","王者软件"
"沃玛战将","81","19","91","25","1","0","0","0","4800","220","0","0","0","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛战将20","81","19","91","25","1","0","0","0","4800","220","0","4","4","13","0","0","0","0","0","0","0","24","44","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛战将0","81","19","91","25","1","0","0","10","4800","220","0","0","0","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"沃玛战将61","81","19","91","25","1","0","0","20","16","240","0","4","4","7","0","0","0","0","0","0","0","15","25","0","0","0","15","17","1100","0","1","2000","0","","王者软件"
"独眼蜘蛛","81","19","102","35","0","1","2","0","7840","330","0","3","3","8","0","-1","1","0","1","-1","0","29","45","0","0","0","18","21","1500","0","1","1600","0","","王者软件"
"独眼蜘蛛0","81","19","102","35","0","1","2","10","7840","330","0","3","3","8","0","-1","1","0","1","-1","0","29","45","0","0","0","18","21","1500","0","1","1600","0","","王者软件"
"黑角蜘蛛","81","19","112","35","0","1","2","0","8480","370","0","3","3","8","0","-1","1","0","1","-1","0","29","50","0","0","0","18","21","1500","0","1","2000","0","","王者软件"
"黑角蜘蛛0","81","19","112","35","0","1","2","10","8480","370","0","3","3","8","0","-1","1","0","1","-1","0","29","50","0","0","0","18","21","1500","0","1","2000","0","","王者软件"
"诺玛1","81","19","122","35","0","1","0","0","8000","340","0","3","3","8","0","1","0","-1","1","-1","0","29","46","0","0","0","18","21","1200","0","1","2000","0","","王者软件"
"诺玛10","81","19","122","35","0","1","0","10","8000","340","0","3","3","8","0","1","0","-1","1","-1","0","29","46","0","0","0","18","21","1200","0","1","2000","0","","王者软件"
"诺玛阻力军1","81","19","122","40","0","0","0","30","16","900","0","6","6","13","0","1","0","-1","1","-1","0","33","50","0","0","0","19","21","1200","0","1","2000","0","","王者软件"
"诺玛17","81","19","122","42","0","0","5","30","30400","900","0","6","6","13","0","1","0","-1","1","-1","0","33","55","0","0","0","19","21","1200","0","1","2000","0","","王者软件"
"诺玛18","81","19","122","45","0","0","5","40","51200","1500","0","8","8","15","1","2","1","-1","1","-1","0","44","66","0","0","0","20","22","1100","0","1","1500","0","","王者软件"
"诺玛19","81","19","122","48","0","0","5","50","80000","2200","0","10","10","17","1","2","1","-1","1","-1","0","55","77","0","0","0","21","23","1000","0","1","1200","0","","王者软件"
"千年毒蛇","81","19","126","15","0","0","0","0","1280","80","0","0","0","3","2","2","2","2","-2","-2","-2","6","13","0","0","0","11","13","1000","0","1","1500","0","","王者软件"
"千年毒蛇0","81","19","126","15","0","0","0","10","1280","80","0","0","0","3","2","2","2","2","-2","-2","-2","6","13","0","0","0","11","13","1000","0","1","1500","0","","王者软件"
"诺玛2","81","19","128","35","0","1","0","0","8000","340","0","3","3","8","0","1","0","-1","1","-1","0","29","46","0","0","0","18","21","1000","0","1","2000","0","","王者软件"
