"Idx","Name","Stdmode","Shape","Weight","CharLooks","Anicount","Source","Reserved","Throw","Looks","DuraMax","Ac","Ac2","Mac_Type","Mac","Mac2","Dc","Dc2","Sac","Sac2","Mc_Type","Mc","Mc2","Func_Type","Func","Amulet","Need","NeedLevel","Price","Stock","OrgName"
"97","魔法药（中）","0","0","1","0","0","0","0","3","16","1","0","0","0","110","0","0","0","0","0","0","0","0","0","0","0","0","0","200","5","王者软件"
"98","黑色水晶戒指","22","0","1","0","0","0","0","0","531","7000","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","13","2500","5","王者软件"
"99","魔鬼项链","20","0","1","0","0","0","0","0","811","9000","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","15","5000","5","王者软件"
"100","珊瑚戒指","22","0","1","0","0","0","0","0","533","7000","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","20","7000","5","王者软件"
"101","蓝翡翠项链","20","0","1","0","0","0","0","0","812","9000","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","21","10000","5","王者软件"
"102","蛇眼戒指","22","0","1","0","0","0","0","0","511","4000","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","13","2500","5","王者软件"
"103","琥珀项链","20","0","1","0","0","0","0","0","852","6000","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","15","5000","5","王者软件"
"104","护身符（小）","25","5","1","0","0","0","0","0","330","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","5","王者软件"
"105","刺杀剑术","51","0","1","0","0","0","0","0","304","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"106","放大镜","20","0","1","0","0","0","0","0","853","6000","0","0","0","0","0","0","0","0","0","1","1","3","0","0","0","0","22","10000","5","王者软件"
"107","红宝石戒指","22","0","1","0","0","0","0","1","513","4000","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","2","17","10000","5","王者软件"
"108","珍珠戒指","22","0","1","0","0","0","0","0","491","5000","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","13","2500","5","王者软件"
"109","竹笛","20","0","1","0","0","0","0","0","832","7000","0","0","0","0","0","0","0","0","0","2","1","3","0","0","0","0","22","10000","5","王者软件"
"110","铂金戒指","22","0","1","0","0","0","0","0","493","5000","0","0","0","0","0","0","0","0","0","2","0","4","0","0","0","3","17","10000","5","王者软件"
"111","骷髅戒指","22","0","1","0","0","0","0","0","532","7000","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","30","6000","5","王者软件"
"112","龙之戒指","22","0","2","0","0","0","0","0","534","7000","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","1","37","10000","5","王者软件"
"113","死神手套","26","0","2","0","0","0","0","0","661","8000","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","25","10000","5","王者软件"
"114","骷髅头盔","15","0","5","3","0","0","0","0","373","8000","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","8000","5","王者软件"
"115","魔法手镯","26","0","1","0","0","0","0","0","647","7000","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","12","2500","5","王者软件"
"116","金手镯","26","0","1","0","0","0","0","0","645","7000","0","0","0","2","3","0","1","0","0","0","0","0","0","0","0","0","25","10000","5","王者软件"
"117","道士头盔","15","0","3","2","0","0","0","0","372","8000","1","2","0","2","3","0","0","0","0","0","0","0","0","0","0","0","20","5500","5","王者软件"
"118","传送戒指","22","112","1","0","0","0","0","0","573","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"119","小手镯","26","0","1","0","0","0","0","0","660","8000","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","15","3000","5","王者软件"
"120","骑士手镯","26","0","2","0","0","0","0","0","662","8000","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","30000","5","王者软件"
"121","绿色项链","20","0","3","0","0","0","0","0","814","9000","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","30000","5","王者软件"
"122","凤凰明珠","20","0","1","0","0","0","0","0","831","7000","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","19","7000","5","王者软件"
"123","道士手镯","26","0","1","0","0","0","0","0","680","6000","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","10","2000","5","王者软件"
"124","三眼手镯","26","0","1","0","0","0","0","0","681","6000","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","22","8000","5","王者软件"
"125","灵魂项链","20","0","2","0","0","0","0","0","834","7000","0","0","0","0","0","0","0","0","0","2","1","6","0","0","0","0","0","30000","5","王者软件"
"126","黑檀手镯","26","0","1","0","0","0","0","0","700","5000","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","10","2000","5","王者软件"
"127","思贝儿手镯","26","0","1","0","0","0","0","0","701","5000","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","22","8000","5","王者软件"
"128","恶魔铃铛","20","0","1","0","0","0","0","0","855","6000","0","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","0","30000","5","王者软件"
"129","铜矿","43","0","4","0","0","0","0","0","215","20000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","5","王者软件"
"130","铁矿","43","0","4","0","0","0","0","0","216","20000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"131","银矿","43","0","4","0","0","0","0","0","211","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2500","5","王者软件"
"132","金矿","43","0","4","0","0","0","0","0","210","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6000","5","王者软件"
"133","战神油","3","10","1","0","0","0","0","3","61","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"134","回城卷","3","3","1","0","0","0","0","3","207","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","5","王者软件"
"135","祝福油","3","4","1","0","0","0","0","3","63","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"136","麻痹戒指","22","113","1","0","0","0","0","0","571","5000","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"137","复活戒指","22","114","1","0","0","0","0","0","575","5000","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"138","火焰戒指","22","115","1","0","0","0","0","0","577","5000","0","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","50000","5","王者软件"
"139","防御戒指","22","116","1","0","0","0","0","0","570","5000","0","0","0","0","0","0","0","0","0","2","0","0","5","2","0","0","0","50000","5","王者软件"
"140","愤怒之钟（冰）","20","0","1","0","0","0","0","0","856","6000","0","0","0","0","0","0","0","0","0","1","0","1","2","3","0","0","25","15000","5","王者软件"
"141","护身戒指","22","118","1","0","0","0","0","0","576","5000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"142","神力戒指","22","119","1","0","0","0","0","0","572","5000","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"143","技巧项链","20","120","1","0","0","0","0","0","891","8000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"144","狂风戒指","23","0","1","0","0","0","0","0","550","5000","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"145","夏普儿手镯","24","0","1","0","0","0","0","0","721","6000","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107","30000","5","王者软件"
"146","狂风项链","21","0","1","0","0","0","0","0","877","7000","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"147","辟邪手镯","24","0","1","0","0","0","0","0","723","6000","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","107","30000","5","王者软件"
"148","探测项链","20","121","1","0","0","0","0","0","890","8000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"149","困魔咒","51","2","1","0","0","0","0","0","304","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"150","召唤骷髅","51","2","1","0","0","0","0","0","304","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"151","隐身术","51","2","1","0","0","0","0","0","304","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"152","集体隐身术","51","2","1","0","0","0","0","0","304","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1000","5","王者软件"
"153","诱惑之光","51","1","1","0","0","0","0","0","304","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"154","瞬息移动","51","1","1","0","0","0","0","0","304","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"155","火墙","51","1","1","0","0","0","0","0","304","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"156","爆裂火焰","51","1","1","0","0","0","0","0","304","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"157","地狱雷光","51","1","1","0","0","0","0","0","304","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"158","半月弯刀","51","0","1","0","0","0","0","0","304","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"159","愤怒之钟（雷）","20","0","1","0","0","0","0","0","856","6000","0","0","0","0","0","0","0","0","0","1","0","1","3","3","0","0","25","15000","5","王者软件"
"160","愤怒之钟（风）","20","0","1","0","0","0","0","0","856","6000","0","0","0","0","0","0","0","0","0","1","0","1","4","3","0","0","25","15000","5","王者软件"
"161","太阳水","0","1","1","0","0","0","0","3","20","0","70","0","0","110","0","0","0","0","0","0","0","0","0","0","0","0","1","500","5","王者软件"
"162","祖玛头像","44","1","1","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1000","5","王者软件"
"163","兑换卷","50","0","1","0","1","1","1","0","180","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","王者软件"
"164","随机传送卷","3","2","1","0","0","0","0","3","205","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","1","王者软件"
"165","无极棍","5","19","33","0","0","0","0","0","1103","24000","0","2","0","0","0","6","20","0","0","2","4","8","5","4","0","0","138","40000","5","王者软件"
"166","血饮","5","28","13","0","0","0","0","0","1083","20000","0","5","0","0","0","5","20","0","0","1","3","7","0","0","0","0","33","23000","5","王者软件"
"167","裁决之杖","6","15","90","0","0","0","0","0","1069","34000","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","138","40000","5","王者软件"
"168","记忆戒指","22","122","1","0","0","0","0","0","590","7000","0","0","0","0","0","0","0","0","0","2","1","3","0","0","0","0","0","50000","5","王者软件"
"169","记忆项链","19","123","1","0","0","0","0","0","910","8000","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"170","记忆手镯","24","124","1","0","0","0","0","0","760","6000","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","50000","5","王者软件"
"171","记忆头盔","15","125","7","4","0","0","0","0","390","8000","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50000","5","王者软件"
"172","祈祷之刃","5","31","15","0","0","0","8","0","1120","20000","0","3","0","0","11","8","10","0","0","0","2","2","0","0","0","0","0","80000","5","王者软件"
"173","祈祷手镯","26","142","1","0","0","0","8","0","761","6000","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","30000","5","王者软件"
"174","祈祷项链","21","141","1","0","0","0","8","0","911","7000","0","0","0","0","0","0","0","0","0","2","0","4","0","0","0","0","0","30000","5","王者软件"
"175","祈祷戒指","23","143","1","0","0","0","8","0","591","5000","0","0","0","0","0","0","0","0","0","1","1","4","0","0","0","0","0","30000","5","王者软件"
"176","祈祷头盔","15","140","2","5","0","0","8","0","391","5000","3","4","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","30000","5","王者软件"
"177","行会回城卷","3","5","1","0","0","0","0","3","204","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","5","王者软件"
"178","修复油","3","9","1","0","0","0","0","3","53","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","800","5","王者软件"
"179","金创药（大）","0","0","2","0","0","0","0","3","7","1","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","5","王者软件"
"180","魔法药（大）","0","0","2","0","0","0","0","3","17","1","0","0","0","180","0","0","0","0","0","0","0","0","0","0","0","0","0","500","5","王者软件"
